n       En              ~En         en
0       0.632121        0.632121    0.632121
1       0.367879        0.367879    0.367879
2       0.264241        0.264241    0.264241
3       0.207277        0.207277    0.207277
4       0.170893        0.170893    0.170893
5       0.145534        0.145533    0.145533
6       0.126796        0.126802    0.126802
7       0.112430        0.112383    0.112384
8       0.100563        0.100932    0.100932
9       0.094933        0.091612    0.091612
10      0.050674        0.083877    0.083877
11      0.442581        0.077352    0.077352
12      -4.310974       0.071773    0.071773
13      57.042664       0.066948    0.066948
14      -797.597290     0.062732    0.062732
15      11964.958984    0.059018    0.059018
16      -191438.343750  0.055719    0.055719
17      3254452.750000  0.052778    0.052771
18      -58580148.0000  0.050000    0.050120
19      1113022848.000  0.050000    0.047723
20      -22260457472.0  0.000000    0.045545
